run_id,endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,endpoint_family,task,task_display,representation,representation_display,representation_family,representation_family_display,atlas_status,atlas_status_display,model_family,model_display,model_label,model_label_display,metric,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file,bundle_table,source_priority,expected_source,status,canonical_source,canonical_slot_id,comparison_id,baseline_representation,baseline_representation_display,candidate_representation,candidate_representation_display,delta,test_name,q_value_figure,significance_label
20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,standard_sbs96_dbs78_id83,SBS96 + DBS78 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,macro_auroc,macro-AUROC,0.5960191712439127,0.5960191712439127,,0.332046332046332,0.220838580778856,0.2270141931014988,,,,,,259.0,261.0,5.0,1.0,,0.0,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,damage_class|signatures_only|elastic_net,,,,,,,,,
20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,elastic_net,Elastic net,linear,Linear,macro_auroc,macro-AUROC,0.6226565201728522,0.6226565201728522,,0.3166023166023166,0.2286790604626678,0.227947345824911,0.0392393172373064,,,0.04975124378109453,0.0877963125548727,259.0,132.0,5.0,1.0,,10.0,one_hot_event_kme_features_b78592624d25ab104767b531,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,damage_class|one_hot_event_KME|elastic_net,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.04826641618397032,paired_bootstrap_macro_auroc,0.08291873963515754,.
20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,standard_sbs96_dbs78_id83,SBS96 + DBS78 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,macro_auroc,macro-AUROC,0.6512250266350554,0.6512250266350554,,0.3436293436293436,0.2351008165847577,0.2437008681545258,,,,,,259.0,261.0,5.0,1.0,,0.0,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,damage_class|signatures_only|XGBoost,,,,,,,,,
20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,XGBoost,XGBoost,xgboost,XGBoost,macro_auroc,macro-AUROC,0.656001481830023,0.656001481830023,,0.3281853281853282,0.2397577718492108,0.2382278049604204,0.0047764551949676,,,0.7860696517412935,0.8039348710990502,259.0,132.0,5.0,1.0,,10.0,one_hot_event_kme_features_09f286189df69d4dfa45fb80,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,damage_class|one_hot_event_KME|XGBoost,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.005897539250433015,paired_bootstrap_macro_auroc,0.7860696517412935,
20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.5102084408630586,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold KFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,HRD_Score|signatures_only|elastic_net,,,,,,,,,
20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.5997029914403073,,,,,,0.0710494941063186,,,0.06965174129353234,0.11608623548922058,772.0,68.0,5.0,1.0,,10.0,one_hot_event_kme_features_59d5fde3eed8e8bf06e7d41e,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold KFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,HRD_Score|one_hot_event_KME|elastic_net,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,0.05016815190834134,paired_bootstrap_spearman,0.09950248756218906,
20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.6939169227386798,,,,,,,,,,,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold KFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,HRD_Score|signatures_only|XGBoost,,,,,,,,,
20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.6789934530306153,,,,,,-0.0063620721869982,,,0.1691542288557214,0.23787313432835822,772.0,132.0,5.0,1.0,,10.0,one_hot_event_kme_features_624af94e39608d9a4346484b,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold KFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,HRD_Score|one_hot_event_KME|XGBoost,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.016842449739594145,paired_bootstrap_spearman,0.21144278606965175,
20260524T162414Z,hrd_binary_33,HRD33 high/low,main,Main,mc3_main,binary,Binary classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,auroc,AUROC,0.7283941791376736,0.7283941791376736,0.5081311066569911,0.7046632124352331,0.6694411057692308,0.6818542878022432,,,,,,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,hrd_binary_33|signatures_only|elastic_net,,,,,,,,,
20260524T162414Z,hrd_binary_33,HRD33 high/low,main,Main,mc3_main,binary,Binary classification,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,elastic_net,Elastic net,linear,Linear,auroc,AUROC,0.7606281574683063,0.7606281574683063,0.5859736895274769,0.7124352331606217,0.6854808518135171,0.7067486416928797,0.0298350967495949,,,0.534386563219568,0.6328261932863305,772.0,132.0,5.0,1.0,,10.0,one_hot_event_kme_features_c64be60c54f9ed906c68c317,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedKFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,hrd_binary_33|one_hot_event_KME|elastic_net,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.014381374511486023,paired_delong_auroc,0.5937628480217422,
20260524T162414Z,hrd_binary_33,HRD33 high/low,main,Main,mc3_main,binary,Binary classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,auroc,AUROC,0.8835748101547357,0.8835748101547357,0.7829412261434728,0.8173575129533679,0.7894639116635043,0.7977234454929623,,,,,,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,hrd_binary_33|signatures_only|XGBoost,,,,,,,,,
20260524T162414Z,hrd_binary_33,HRD33 high/low,main,Main,mc3_main,binary,Binary classification,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,XGBoost,XGBoost,xgboost,XGBoost,auroc,AUROC,0.8635497092746163,0.8635497092746163,0.7473259969399336,0.8147668393782384,0.7878464675349134,0.7982794776475074,-0.0204381533377816,,,0.002394014459759682,0.015390092955597956,772.0,132.0,5.0,1.0,,10.0,one_hot_event_kme_features_99a7d87ae17e83536d3e551a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedKFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,hrd_binary_33|one_hot_event_KME|XGBoost,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.02707082260985616,paired_delong_auroc,0.01197007229879841,*
20260524T162414Z,cancer_type_top10,Cancer type (top 10),main,Main,mc3_main,multiclass,Multiclass classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,macro_auroc,macro-AUROC,0.8695577850713951,0.8695577850713951,,0.5087879897473453,0.5275353912281303,0.5052453662771531,,,,,,5462.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,cancer_type_top10|signatures_only|elastic_net,,,,,,,,,
20260524T162414Z,cancer_type_top10,Cancer type (top 10),main,Main,mc3_main,multiclass,Multiclass classification,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,elastic_net,Elastic net,linear,Linear,macro_auroc,macro-AUROC,0.8545936738627548,0.8545936738627548,,0.4805931893079458,0.4937268461328316,0.4819177462400849,-0.0218503981336475,,,0.009950248756218905,0.020826102047900034,5462.0,68.0,5.0,1.0,,10.0,one_hot_event_kme_features_f2f3cd362d8eae1b6a66f09a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedKFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,cancer_type_top10|one_hot_event_KME|elastic_net,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.02424814744128101,paired_bootstrap_macro_auroc,0.02286429786588113,*
20260524T162414Z,cancer_type_top10,Cancer type (top 10),main,Main,mc3_main,multiclass,Multiclass classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,macro_auroc,macro-AUROC,0.9258837946569584,0.9258837946569584,,0.6411570853167338,0.6459488735759928,0.6367459698842718,,,,,,5462.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,cancer_type_top10|signatures_only|XGBoost,,,,,,,,,
20260524T162414Z,cancer_type_top10,Cancer type (top 10),main,Main,mc3_main,multiclass,Multiclass classification,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,XGBoost,XGBoost,xgboost,XGBoost,macro_auroc,macro-AUROC,0.9064175734284684,0.9064175734284684,,0.5699377517392896,0.5678488973909713,0.5630498569944118,-0.0172640054461308,,,0.009950248756218905,0.020826102047900034,5462.0,132.0,5.0,1.0,,10.0,one_hot_event_kme_features_d43add3fd23ef111ffd5eaf2,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedKFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,cancer_type_top10|one_hot_event_KME|XGBoost,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.020888557377065187,paired_bootstrap_macro_auroc,0.02286429786588113,*
20260524T162414Z,os_event,Overall survival event,main,Main,mc3_main,binary,Binary classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,auroc,AUROC,0.57397369121595,0.57397369121595,0.3499838924309137,0.5420652924351514,0.525362350805038,0.5524209136127318,,,,,,10139.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,os_event|signatures_only|elastic_net,,,,,,,,,
20260524T162414Z,os_event,Overall survival event,main,Main,mc3_main,binary,Binary classification,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,elastic_net,Elastic net,linear,Linear,auroc,AUROC,0.5601225006078037,0.5601225006078037,0.3374709136408881,0.5307229509813591,0.5152929400752602,0.54325787254609,-0.0197799558350709,,,0.0007445312872796648,0.006700781585516983,10139.0,68.0,5.0,1.0,,10.0,one_hot_event_kme_features_61b209b1a5c0ca16455e9d0a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedKFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,os_event|one_hot_event_KME|elastic_net,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.024903461357152712,paired_delong_auroc,0.007445312872796648,**
20260524T162414Z,os_event,Overall survival event,main,Main,mc3_main,binary,Binary classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,auroc,AUROC,0.6516435111943052,0.6516435111943052,0.4255618862122393,0.5653417496794556,0.5592912066881461,0.6119756651350807,,,,,,10139.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,os_event|signatures_only|XGBoost,,,,,,,,,
20260524T162414Z,os_event,Overall survival event,main,Main,mc3_main,binary,Binary classification,one_hot_event_kme_oracle,One-hot sequence KME,one_hot_event_KME,One-hot sequence KME,uses GRCh37 FASTA windows; no UGA atlas,GRCh37 FASTA windows,XGBoost,XGBoost,xgboost,XGBoost,auroc,AUROC,0.6439133432279678,0.6439133432279678,0.4101536887386309,0.5601144097050991,0.5553364029125603,0.6119923144668998,-0.0058917336319433,,,0.011432148932940565,0.02286429786588113,10139.0,68.0,5.0,1.0,,10.0,one_hot_event_kme_features_f2f3cd362d8eae1b6a66f09a,one_hot_event_kme_scout_oof_predictions.csv,one_hot_event_kme_scout_fold_metrics.csv,,5-fold StratifiedKFold,one_hot_event_kme_scout,one_hot_event_kme_scout_endpoint_results.csv,one_hot_event_kme_scout_endpoint_results.csv,60,one_hot_event_kme_scout,measured,one_hot_event_kme_scout,os_event|one_hot_event_KME|XGBoost,figure_3:one_hot_kme_vs_signatures,signatures_only,Mutational signatures,one_hot_event_KME,One-hot sequence KME,-0.010784049326359346,paired_delong_auroc,0.02286429786588113,*
