benchmark,endpoint,representation,learner,repeat,fold,metric,score,n_test
mc3_main,HRD_Score,burden_only,xgboost,1,1,spearman,0.6864856827770703,155
mc3_main,HRD_Score,burden_only,xgboost,1,2,spearman,0.6136000775132917,155
mc3_main,HRD_Score,burden_only,xgboost,1,3,spearman,0.6537525141985462,154
mc3_main,HRD_Score,burden_only,xgboost,1,4,spearman,0.5194506492391088,154
mc3_main,HRD_Score,burden_only,xgboost,1,5,spearman,0.6075033459103226,154
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,1,spearman,0.7005112041732071,155
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,2,spearman,0.6821849569588108,155
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,3,spearman,0.7096267413385201,154
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,4,spearman,0.622978705903676,154
mc3_main,HRD_Score,standard_sbs96_id83,xgboost,1,5,spearman,0.7261681715221028,154
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,1,spearman,0.7313766218463044,155
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,2,spearman,0.7129006487744797,155
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,3,spearman,0.7251534883708481,154
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,4,spearman,0.7011148788619309,154
mc3_main,HRD_Score,MAF_stack_only,xgboost,1,5,spearman,0.7541808422961415,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,1,spearman,0.7886928159911094,155
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,2,spearman,0.7797933162615764,155
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,3,spearman,0.766750444086016,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,4,spearman,0.7223268616076722,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,xgboost,1,5,spearman,0.8091493810216591,154
mc3_main,hrd_binary_33,burden_only,xgboost,1,1,auroc,0.9104609929078014,155
mc3_main,hrd_binary_33,burden_only,xgboost,1,2,auroc,0.7976753349093775,155
mc3_main,hrd_binary_33,burden_only,xgboost,1,3,auroc,0.7776771336553945,154
mc3_main,hrd_binary_33,burden_only,xgboost,1,4,auroc,0.8513620998210379,154
mc3_main,hrd_binary_33,burden_only,xgboost,1,5,auroc,0.8089083316762777,154
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,1,auroc,0.9631599684791174,155
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,2,auroc,0.8731284475965327,155
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,3,auroc,0.8333333333333333,154
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,4,auroc,0.8946112547226088,154
mc3_main,hrd_binary_33,standard_sbs96_id83,xgboost,1,5,auroc,0.857426923841718,154
mc3_main,hrd_binary_33,MAF_stack_only,xgboost,1,1,auroc,0.954294720252167,155
mc3_main,hrd_binary_33,MAF_stack_only,xgboost,1,2,auroc,0.8583530338849488,155
mc3_main,hrd_binary_33,MAF_stack_only,xgboost,1,3,auroc,0.7960950080515298,154
mc3_main,hrd_binary_33,MAF_stack_only,xgboost,1,4,auroc,0.8888447007357327,154
mc3_main,hrd_binary_33,MAF_stack_only,xgboost,1,5,auroc,0.8329687810697952,154
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,xgboost,1,1,auroc,0.9678881008668244,155
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,xgboost,1,2,auroc,0.9040583136327818,155
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,xgboost,1,3,auroc,0.8435990338164251,154
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,xgboost,1,4,auroc,0.9254324915490156,154
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,xgboost,1,5,auroc,0.8635911712069994,154
mc3_main,cancer_type_top10,burden_only,xgboost,1,1,macro_auroc,0.8336602723254367,1093
mc3_main,cancer_type_top10,burden_only,xgboost,1,2,macro_auroc,0.8465064481596987,1093
mc3_main,cancer_type_top10,burden_only,xgboost,1,3,macro_auroc,0.8493338340909602,1092
mc3_main,cancer_type_top10,burden_only,xgboost,1,4,macro_auroc,0.8435193171315287,1092
mc3_main,cancer_type_top10,burden_only,xgboost,1,5,macro_auroc,0.831969138610108,1092
mc3_main,cancer_type_top10,standard_sbs96_id83,xgboost,1,1,macro_auroc,0.9216857238391436,1093
mc3_main,cancer_type_top10,standard_sbs96_id83,xgboost,1,2,macro_auroc,0.9293179295468535,1093
mc3_main,cancer_type_top10,standard_sbs96_id83,xgboost,1,3,macro_auroc,0.9338745901122164,1092
mc3_main,cancer_type_top10,standard_sbs96_id83,xgboost,1,4,macro_auroc,0.9273560351425194,1092
mc3_main,cancer_type_top10,standard_sbs96_id83,xgboost,1,5,macro_auroc,0.9185862545509924,1092
mc3_main,HRD_Score,burden_only,linear,1,1,spearman,0.4764234351759988,155
mc3_main,HRD_Score,burden_only,linear,1,2,spearman,0.5259615145104363,155
mc3_main,HRD_Score,burden_only,linear,1,3,spearman,0.4906853487637656,154
mc3_main,HRD_Score,burden_only,linear,1,4,spearman,0.6241396805483104,154
mc3_main,HRD_Score,burden_only,linear,1,5,spearman,0.6352592876737577,154
mc3_main,HRD_Score,standard_sbs96_id83,linear,1,1,spearman,0.4474720207640845,155
mc3_main,HRD_Score,standard_sbs96_id83,linear,1,2,spearman,0.5302489618171737,155
mc3_main,HRD_Score,standard_sbs96_id83,linear,1,3,spearman,0.4106101788474944,154
mc3_main,HRD_Score,standard_sbs96_id83,linear,1,4,spearman,0.5320992509789919,154
mc3_main,HRD_Score,standard_sbs96_id83,linear,1,5,spearman,0.5879945157947576,154
mc3_main,HRD_Score,MAF_stack_only,linear,1,1,spearman,0.4383388860256846,155
mc3_main,HRD_Score,MAF_stack_only,linear,1,2,spearman,0.4345918782574751,155
mc3_main,HRD_Score,MAF_stack_only,linear,1,3,spearman,0.3807745165916663,154
mc3_main,HRD_Score,MAF_stack_only,linear,1,4,spearman,0.52764389020226,154
mc3_main,HRD_Score,MAF_stack_only,linear,1,5,spearman,0.5160055526796922,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,linear,1,1,spearman,0.5762047316029189,155
mc3_main,HRD_Score,signatures_plus_MAF_stack,linear,1,2,spearman,0.5502591168727543,155
mc3_main,HRD_Score,signatures_plus_MAF_stack,linear,1,3,spearman,0.4340174984919,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,linear,1,4,spearman,0.5700708890263513,154
mc3_main,HRD_Score,signatures_plus_MAF_stack,linear,1,5,spearman,0.6516992499877523,154
mc3_main,hrd_binary_33,burden_only,linear,1,1,auroc,0.7912726556343579,155
mc3_main,hrd_binary_33,burden_only,linear,1,2,auroc,0.8593380614657211,155
mc3_main,hrd_binary_33,burden_only,linear,1,3,auroc,0.7872383252818035,154
mc3_main,hrd_binary_33,burden_only,linear,1,4,auroc,0.7907138596142373,154
mc3_main,hrd_binary_33,burden_only,linear,1,5,auroc,0.7807715251541062,154
mc3_main,hrd_binary_33,standard_sbs96_id83,linear,1,1,auroc,0.7040977147360126,155
mc3_main,hrd_binary_33,standard_sbs96_id83,linear,1,2,auroc,0.7502955082742316,155
mc3_main,hrd_binary_33,standard_sbs96_id83,linear,1,3,auroc,0.7355072463768116,154
mc3_main,hrd_binary_33,standard_sbs96_id83,linear,1,4,auroc,0.7663551401869158,154
mc3_main,hrd_binary_33,standard_sbs96_id83,linear,1,5,auroc,0.6999403459932392,154
mc3_main,hrd_binary_33,MAF_stack_only,linear,1,1,auroc,0.7403467297084318,155
mc3_main,hrd_binary_33,MAF_stack_only,linear,1,2,auroc,0.7380811662726556,155
mc3_main,hrd_binary_33,MAF_stack_only,linear,1,3,auroc,0.7004830917874396,154
mc3_main,hrd_binary_33,MAF_stack_only,linear,1,4,auroc,0.734241399880692,154
mc3_main,hrd_binary_33,MAF_stack_only,linear,1,5,auroc,0.7487572081924836,154
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,linear,1,1,auroc,0.7732466509062254,155
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,linear,1,2,auroc,0.7791568163908589,155
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,linear,1,3,auroc,0.6673711755233495,154
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,linear,1,4,auroc,0.7745078544442234,154
mc3_main,hrd_binary_33,signatures_plus_MAF_stack,linear,1,5,auroc,0.7722211175183933,154
mc3_main,cancer_type_top10,burden_only,linear,1,1,macro_auroc,0.809338778115063,1093
mc3_main,cancer_type_top10,burden_only,linear,1,2,macro_auroc,0.8001030277396005,1093
mc3_main,cancer_type_top10,burden_only,linear,1,3,macro_auroc,0.7957415015381833,1092
mc3_main,cancer_type_top10,burden_only,linear,1,4,macro_auroc,0.8081505232248707,1092
mc3_main,cancer_type_top10,burden_only,linear,1,5,macro_auroc,0.8014132591708598,1092
mc3_main,cancer_type_top10,standard_sbs96_id83,linear,1,1,macro_auroc,0.8854830603621888,1093
mc3_main,cancer_type_top10,standard_sbs96_id83,linear,1,2,macro_auroc,0.8567984260074176,1093
mc3_main,cancer_type_top10,standard_sbs96_id83,linear,1,3,macro_auroc,0.8765938844968495,1092
mc3_main,cancer_type_top10,standard_sbs96_id83,linear,1,4,macro_auroc,0.8932875108531343,1092
mc3_main,cancer_type_top10,standard_sbs96_id83,linear,1,5,macro_auroc,0.86787421287043,1092
mc3_main,cancer_type_top10,MAF_stack_only,linear,1,1,macro_auroc,0.8527148653512,1093
mc3_main,cancer_type_top10,MAF_stack_only,linear,1,2,macro_auroc,0.8536995704039043,1093
mc3_main,cancer_type_top10,MAF_stack_only,linear,1,3,macro_auroc,0.845272734866428,1092
mc3_main,cancer_type_top10,MAF_stack_only,linear,1,4,macro_auroc,0.835086449859331,1092
mc3_main,cancer_type_top10,MAF_stack_only,linear,1,5,macro_auroc,0.8453203564677118,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,linear,1,1,macro_auroc,0.8797906954144825,1093
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,linear,1,2,macro_auroc,0.8723936820863178,1093
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,linear,1,3,macro_auroc,0.8710318897095721,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,linear,1,4,macro_auroc,0.8683555762705073,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,linear,1,5,macro_auroc,0.8621269053841655,1092
mc3_main,os_event,burden_only,linear,1,1,auroc,0.6127134055968146,2028
mc3_main,os_event,burden_only,linear,1,2,auroc,0.5965073413699847,2028
mc3_main,os_event,burden_only,linear,1,3,auroc,0.6072324139596473,2028
mc3_main,os_event,burden_only,linear,1,4,auroc,0.5772681451612903,2028
mc3_main,os_event,burden_only,linear,1,5,auroc,0.5874492743654997,2027
mc3_main,os_event,burden_only,xgboost,1,1,auroc,0.6090121053348395,2028
mc3_main,os_event,burden_only,xgboost,1,2,auroc,0.6285045900014535,2028
mc3_main,os_event,burden_only,xgboost,1,3,auroc,0.6206304571002819,2028
mc3_main,os_event,burden_only,xgboost,1,4,auroc,0.6456269473973606,2028
mc3_main,os_event,burden_only,xgboost,1,5,auroc,0.6177407891418484,2027
mc3_main,os_event,standard_sbs96_id83,linear,1,1,auroc,0.6108146866312559,2028
mc3_main,os_event,standard_sbs96_id83,linear,1,2,auroc,0.5774795221042247,2028
mc3_main,os_event,standard_sbs96_id83,linear,1,3,auroc,0.5626617315996507,2028
mc3_main,os_event,standard_sbs96_id83,linear,1,4,auroc,0.5571853234970675,2028
mc3_main,os_event,standard_sbs96_id83,linear,1,5,auroc,0.5585322236742555,2027
mc3_main,os_event,standard_sbs96_id83,xgboost,1,1,auroc,0.6477206788692836,2028
mc3_main,os_event,standard_sbs96_id83,xgboost,1,2,auroc,0.6593516200913995,2028
mc3_main,os_event,standard_sbs96_id83,xgboost,1,3,auroc,0.6434534253050369,2028
mc3_main,os_event,standard_sbs96_id83,xgboost,1,4,auroc,0.6665116385630498,2028
mc3_main,os_event,standard_sbs96_id83,xgboost,1,5,auroc,0.6433156796661852,2027
mc3_main,os_event,MAF_stack_only,linear,1,1,auroc,0.5885702611854462,2028
mc3_main,os_event,MAF_stack_only,linear,1,2,auroc,0.5440379194435003,2028
mc3_main,os_event,MAF_stack_only,linear,1,3,auroc,0.5944358034991822,2028
mc3_main,os_event,MAF_stack_only,linear,1,4,auroc,0.5759324596774194,2028
mc3_main,os_event,MAF_stack_only,linear,1,5,auroc,0.5459109980053649,2027
mc3_main,os_event,signatures_plus_MAF_stack,linear,1,1,auroc,0.600436396348142,2028
mc3_main,os_event,signatures_plus_MAF_stack,linear,1,2,auroc,0.540798423342226,2028
mc3_main,os_event,signatures_plus_MAF_stack,linear,1,3,auroc,0.5896363592664695,2028
mc3_main,os_event,signatures_plus_MAF_stack,linear,1,4,auroc,0.5793203583211144,2028
mc3_main,os_event,signatures_plus_MAF_stack,linear,1,5,auroc,0.5818706009124882,2027
kucab_damage_class,damage_class,burden_only,linear,1,1,macro_auroc,0.6002327264807217,45
kucab_damage_class,damage_class,burden_only,linear,1,2,macro_auroc,0.5715737779637968,53
kucab_damage_class,damage_class,burden_only,linear,1,3,macro_auroc,0.4773438352522842,49
kucab_damage_class,damage_class,burden_only,linear,1,4,macro_auroc,0.6177085414585415,59
kucab_damage_class,damage_class,burden_only,linear,1,5,macro_auroc,0.4851677717154829,53
kucab_damage_class,damage_class,burden_only,xgboost,1,1,macro_auroc,0.4618408978747325,53
kucab_damage_class,damage_class,burden_only,xgboost,1,2,macro_auroc,0.6935542997002447,49
kucab_damage_class,damage_class,burden_only,xgboost,1,3,macro_auroc,0.6009616609076505,63
kucab_damage_class,damage_class,burden_only,xgboost,1,4,macro_auroc,0.6787267637845611,50
kucab_damage_class,damage_class,burden_only,xgboost,1,5,macro_auroc,0.5475264349213784,44
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,linear,1,1,macro_auroc,0.5927372112566579,45
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,linear,1,2,macro_auroc,0.6662094009105899,53
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,linear,1,3,macro_auroc,0.6397025278264279,49
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,linear,1,4,macro_auroc,0.7057159507159507,59
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,linear,1,5,macro_auroc,0.5181069659798652,53
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,xgboost,1,1,macro_auroc,0.7524349769650521,53
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,xgboost,1,2,macro_auroc,0.7712745098039215,49
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,xgboost,1,3,macro_auroc,0.7024734612927054,63
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,xgboost,1,4,macro_auroc,0.670981479692286,50
kucab_damage_class,damage_class,standard_sbs96_dbs78_id83,xgboost,1,5,macro_auroc,0.6899037826218642,44
kucab_damage_class,damage_class,MAF_stack_only,linear,1,1,macro_auroc,0.5474191993563486,45
kucab_damage_class,damage_class,MAF_stack_only,linear,1,2,macro_auroc,0.6086777009320814,53
kucab_damage_class,damage_class,MAF_stack_only,linear,1,3,macro_auroc,0.5746799971909669,49
kucab_damage_class,damage_class,MAF_stack_only,linear,1,4,macro_auroc,0.5218398268398268,59
kucab_damage_class,damage_class,MAF_stack_only,linear,1,5,macro_auroc,0.5657327490559467,53
kucab_damage_class,damage_class,MAF_stack_only,xgboost,1,1,macro_auroc,0.68256778969185,53
kucab_damage_class,damage_class,MAF_stack_only,xgboost,1,2,macro_auroc,0.7382426734134514,49
kucab_damage_class,damage_class,MAF_stack_only,xgboost,1,3,macro_auroc,0.6669041155687063,63
kucab_damage_class,damage_class,MAF_stack_only,xgboost,1,4,macro_auroc,0.6323419730052411,50
kucab_damage_class,damage_class,MAF_stack_only,xgboost,1,5,macro_auroc,0.6441037352966115,44
kucab_damage_class,damage_class,signatures_plus_MAF_stack,linear,1,1,macro_auroc,0.5381114796787411,45
kucab_damage_class,damage_class,signatures_plus_MAF_stack,linear,1,2,macro_auroc,0.6456494759412469,53
kucab_damage_class,damage_class,signatures_plus_MAF_stack,linear,1,3,macro_auroc,0.5784582160113504,49
kucab_damage_class,damage_class,signatures_plus_MAF_stack,linear,1,4,macro_auroc,0.506585914085914,59
kucab_damage_class,damage_class,signatures_plus_MAF_stack,linear,1,5,macro_auroc,0.4895464718828274,53
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,1,macro_auroc,0.7627093539687525,53
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,2,macro_auroc,0.7715665190807506,49
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,3,macro_auroc,0.7143484449593781,63
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,4,macro_auroc,0.6486306420229314,50
kucab_damage_class,damage_class,signatures_plus_MAF_stack,xgboost,1,5,macro_auroc,0.6686473514773779,44
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,1,macro_auroc,0.9352968937067608,1093
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,2,macro_auroc,0.9358781567778859,1093
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,3,macro_auroc,0.9417318141935846,1092
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,4,macro_auroc,0.9407214044627235,1092
mc3_main,cancer_type_top10,MAF_stack_only,xgboost,1,5,macro_auroc,0.9318530184788794,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,1,macro_auroc,0.9544284650641963,1093
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,2,macro_auroc,0.9585735319543854,1093
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,3,macro_auroc,0.963192382394209,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,4,macro_auroc,0.9597400215398227,1092
mc3_main,cancer_type_top10,signatures_plus_MAF_stack,xgboost,1,5,macro_auroc,0.9536783029863495,1092
mc3_main,os_event,MAF_stack_only,xgboost,1,1,auroc,0.6552686303930085,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,2,auroc,0.6579284392392764,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,3,auroc,0.6475867728301212,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,4,auroc,0.6710347553152494,2028
mc3_main,os_event,MAF_stack_only,xgboost,1,5,auroc,0.6411559712955958,2027
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,1,auroc,0.661827737319842,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,2,auroc,0.6783370930028945,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,3,auroc,0.6587398869466791,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,4,auroc,0.6818651484604107,2028
mc3_main,os_event,signatures_plus_MAF_stack,xgboost,1,5,auroc,0.657568150033244,2027
