benchmark,endpoint,family,task,representation,metric,score,n_samples,n_classes,n_features,n_folds,model,split_strategy,tuning,balanced_accuracy_at_0p5,balanced_accuracy_argmax,accuracy,macro_f1,delta_vs_standard,delta_vs_previous_uga_mean
kucab_damage_class,damage_class,kucab,multiclass_grouped,previous_uga_mean_unified,macro_auroc,0.6760409991031784,259,8.0,143,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedGroupKFold grouped by agent_core,none,,0.3526036474291204,0.3822393822393822,0.3502264366633169,0.021222485678970893,0.0
kucab_damage_class,damage_class,kucab,multiclass_grouped,standard_sbs96_dbs78_id83,macro_auroc,0.6548185134242075,259,8.0,257,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedGroupKFold grouped by agent_core,none,,0.2880224936367904,0.3590733590733591,0.291841496253404,0.0,-0.021222485678970893
kucab_damage_class,damage_class,kucab,multiclass_grouped,uga_rbf_kernel_mean,macro_auroc,0.6284397406320446,259,8.0,257,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedGroupKFold grouped by agent_core,none,,0.3020060832879579,0.3397683397683397,0.2947285036420057,-0.02637877279216294,-0.047601258471133834
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,previous_uga_mean_pooled,spearman,0.4760308798375217,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06363393642091786,0.0
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,standard_sbs96_id83,spearman,0.4123969434166038,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.06363393642091786
mc3_hrd_kmt2c,HRD_LOH,hrd,regression,uga_rbf_kernel_mean,spearman,0.4801420275242805,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06774508410767666,0.004111147686758798
mc3_hrd_kmt2c,HRD_LST,hrd,regression,previous_uga_mean_pooled,spearman,0.553649479584001,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.042389138249686154,0.0
mc3_hrd_kmt2c,HRD_LST,hrd,regression,standard_sbs96_id83,spearman,0.5112603413343149,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.042389138249686154
mc3_hrd_kmt2c,HRD_LST,hrd,regression,uga_rbf_kernel_mean,spearman,0.5608351402064652,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.04957479887215033,0.007185660622464174
mc3_hrd_kmt2c,HRD_Score,hrd,regression,previous_uga_mean_pooled,spearman,0.5670007745112181,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06389840616183196,0.0
mc3_hrd_kmt2c,HRD_Score,hrd,regression,standard_sbs96_id83,spearman,0.5031023683493862,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.06389840616183196
mc3_hrd_kmt2c,HRD_Score,hrd,regression,uga_rbf_kernel_mean,spearman,0.5779535075493678,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.07485113919998165,0.010952733038149698
mc3_hrd_kmt2c,HRD_TAI,hrd,regression,previous_uga_mean_pooled,spearman,0.5556695282168657,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06524830564667439,0.0
mc3_hrd_kmt2c,HRD_TAI,hrd,regression,standard_sbs96_id83,spearman,0.4904212225701913,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.06524830564667439
mc3_hrd_kmt2c,HRD_TAI,hrd,regression,uga_rbf_kernel_mean,spearman,0.5595295857986106,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.06910836322841929,0.0038600575817449023
mc3_hrd_kmt2c,PARPi7,hrd,regression,previous_uga_mean_pooled,spearman,0.2126527889563119,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.04345798032950221,0.0
mc3_hrd_kmt2c,PARPi7,hrd,regression,standard_sbs96_id83,spearman,0.1691948086268097,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.04345798032950221
mc3_hrd_kmt2c,PARPi7,hrd,regression,uga_rbf_kernel_mean,spearman,0.197788685068537,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.02859387644172731,-0.014864103887774899
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,previous_uga_mean_pooled,macro_auroc,0.8946340649627154,5462,10.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,,0.5484042151566879,,,-0.01677153800599207,0.0
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,standard_sbs96_id83,macro_auroc,0.9114056029687074,5462,10.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,,0.6043321858146348,,,0.0,0.01677153800599207
mc3_hrd_kmt2c,cancer_type_top10,mc3_clinical,multiclass,uga_rbf_kernel_mean,macro_auroc,0.8902173252024399,5462,10.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,,0.5409452408954788,,,-0.021188277766267527,-0.0044167397602754566
mc3_hrd_kmt2c,eCARD,hrd,regression,previous_uga_mean_pooled,spearman,0.2993243481940515,772,,73,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.04032037708629499,0.0
mc3_hrd_kmt2c,eCARD,hrd,regression,standard_sbs96_id83,spearman,0.2590039711077565,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.0,-0.04032037708629499
mc3_hrd_kmt2c,eCARD,hrd,regression,uga_rbf_kernel_mean,spearman,0.3086410510305566,772,,182,5,"ElasticNet(alpha=0.01, l1_ratio=0.5, max_iter=5000, random_state=0)",5-fold KFold,none,,,,,0.04963707992280009,0.009316702836505097
mc3_hrd_kmt2c,high_purity,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.6137116901619553,9591,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.584049426616488,,,,-0.004575402874237633,0.0
mc3_hrd_kmt2c,high_purity,mc3_clinical,binary,standard_sbs96_id83,auroc,0.6182870930361929,9591,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5862594903889791,,,,0.0,0.004575402874237633
mc3_hrd_kmt2c,high_purity,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.6111632610046062,9591,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5825893818293417,,,,-0.00712383203158673,-0.002548429157349097
mc3_hrd_kmt2c,high_stage,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.6003366071864261,6404,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5847379355112987,,,,0.0036481385316697867,0.0
mc3_hrd_kmt2c,high_stage,mc3_clinical,binary,standard_sbs96_id83,auroc,0.5966884686547563,6404,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5767046539335399,,,,0.0,-0.0036481385316697867
mc3_hrd_kmt2c,high_stage,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.6014275216120188,6404,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5884855413000849,,,,0.004739052957262513,0.0010909144255927261
mc3_hrd_kmt2c,hrd_binary_24,hrd,binary,previous_uga_mean_pooled,auroc,0.7934986173744312,772,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.7311182026543707,,,,0.03820644053357858,0.0
mc3_hrd_kmt2c,hrd_binary_24,hrd,binary,standard_sbs96_id83,auroc,0.7552921768408526,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.6848898294198381,,,,0.0,-0.03820644053357858
mc3_hrd_kmt2c,hrd_binary_24,hrd,binary,uga_rbf_kernel_mean,auroc,0.7953916988377832,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.7300026367920383,,,,0.040099521996930565,0.0018930814633519866
mc3_hrd_kmt2c,hrd_binary_33,hrd,binary,previous_uga_mean_pooled,auroc,0.8380278333809932,772,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.775140596701935,,,,0.08979919295904415,0.0
mc3_hrd_kmt2c,hrd_binary_33,hrd,binary,standard_sbs96_id83,auroc,0.748228640421949,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.6992263209735329,,,,0.0,-0.08979919295904415
mc3_hrd_kmt2c,hrd_binary_33,hrd,binary,uga_rbf_kernel_mean,auroc,0.8400851523528103,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.7739332125949226,,,,0.0918565119308613,0.002057318971817157
mc3_hrd_kmt2c,hrd_binary_42,hrd,binary,previous_uga_mean_pooled,auroc,0.880192926045016,772,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.8006538049303322,,,,0.052786709539121124,0.0
mc3_hrd_kmt2c,hrd_binary_42,hrd,binary,standard_sbs96_id83,auroc,0.8274062165058949,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.7594962486602358,,,,0.0,-0.052786709539121124
mc3_hrd_kmt2c,hrd_binary_42,hrd,binary,uga_rbf_kernel_mean,auroc,0.8808788853161843,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.8047909967845659,,,,0.05347266881028945,0.0006859592711683238
mc3_hrd_kmt2c,luad_kmt2c_mutated,mc3_kmt2c_supportive,binary,previous_uga_mean_pooled,auroc,0.7456356609808102,515,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.701192697228145,,,,0.08512126865671654,0.0
mc3_hrd_kmt2c,luad_kmt2c_mutated,mc3_kmt2c_supportive,binary,standard_sbs96_id83,auroc,0.6605143923240937,515,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5578025053304905,,,,0.0,-0.08512126865671654
mc3_hrd_kmt2c,luad_kmt2c_mutated,mc3_kmt2c_supportive,binary,uga_rbf_kernel_mean,auroc,0.7516657782515992,515,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.7138859275053304,,,,0.09115138592750549,0.006030117270788948
mc3_hrd_kmt2c,os_event,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.6108911455234962,10139,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5852210133529931,,,,-0.00444205088988503,0.0
mc3_hrd_kmt2c,os_event,mc3_clinical,binary,standard_sbs96_id83,auroc,0.6153331964133812,10139,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5900962903914622,,,,0.0,0.00444205088988503
mc3_hrd_kmt2c,os_event,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.6146246723035914,10139,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.584849918754925,,,,-0.000708524109789832,0.0037335267800951977
mc3_hrd_kmt2c,parpi7_binary,hrd,binary,previous_uga_mean_pooled,auroc,0.6367088417608477,772,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.6088297537034536,,,,0.06929623125759832,0.0
mc3_hrd_kmt2c,parpi7_binary,hrd,binary,standard_sbs96_id83,auroc,0.5674126105032494,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.5411094601287766,,,,0.0,-0.06929623125759832
mc3_hrd_kmt2c,parpi7_binary,hrd,binary,uga_rbf_kernel_mean,auroc,0.651822834586579,772,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.6306677473096493,,,,0.08441022408332954,0.015113992825731226
mc3_hrd_kmt2c,smoking_ever,mc3_clinical,binary,previous_uga_mean_pooled,auroc,0.7586060648900828,2798,2.0,73,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.6969325301833962,,,,0.025546434254994366,0.0
mc3_hrd_kmt2c,smoking_ever,mc3_clinical,binary,standard_sbs96_id83,auroc,0.7330596306350884,2798,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.6649010995868987,,,,0.0,-0.025546434254994366
mc3_hrd_kmt2c,smoking_ever,mc3_clinical,binary,uga_rbf_kernel_mean,auroc,0.7591403519162054,2798,2.0,182,5,"LogisticRegression(L2,C=1.0,class_weight=balanced)",5-fold StratifiedKFold,none,0.7023279376075022,,,,0.026080721281117047,0.0005342870261226818
